id,name,actors,directors,introduction,imgPath,status,playCount,doubanLink,doubanId,yearId,languageId,regionId,categoryId,createdAt,updatedAt
2123,摩登家庭  第五季,艾德·奥尼尔  索菲娅·维加拉  朱丽·鲍温  泰·布利尔  杰西·泰勒·弗格森,克里斯托弗·洛伊德,温馨大家庭的影像记录故事已经来到了第五季。伴随着三个家庭点滴的成长与变化，相信这部剧集还将走得更远。,p2151475197.jpg,完结,1447,NULL,NULL,5,1,1,2,1569944082,1569944082
2124,摩登家庭 第六季,艾德·奥尼尔 索菲娅·维加拉 朱丽·鲍温 泰·布利尔 杰西·泰勒·弗格森 ,贝丝·麦卡锡-米勒,ABC确认续订第六季。,p2199810436.jpg,完结,1289,NULL,NULL,6,1,1,2,1569944083,1569944083
2125,摩登家庭 第七季,艾德·奥尼尔 索菲娅·维加拉 朱丽·鲍温 泰·布利尔 杰西·泰勒·弗格森 ,James,ABC确认续订《摩登家庭》第七季。,p2266517563.jpg,完结,1348,NULL,NULL,7,1,1,2,1569944083,1569944083
2126,摩登家庭 第八季,艾德·奥尼尔 索菲娅·维加拉 朱丽·鲍温 泰·布利尔 杰西·泰勒·弗格森 ,克里斯·科赫,ABC已续订《摩登家庭》第八季。,p2376089099.jpg,完结,1620,NULL,NULL,8,1,1,2,1569944083,1569944083
2127,摩登家庭 第九季,艾德·奥尼尔 索菲娅·维加拉 朱丽·鲍温 泰·布利尔 杰西·泰勒·弗格森 ,詹姆斯·R·巴格多纳斯,ABC已续订《摩登家庭》第九季与第十季。,p2499989542.jpg,完结,2434,NULL,NULL,9,1,1,2,1569944084,1569944084
2128,报复,弗兰克·格里罗 布鲁斯·威利斯 乔纳森·斯卡奇 奥莉维亚·库尔普 泰勒·乔恩·奥尔森 ,布莱恩·A·米勒,银行经理雅各布(弗兰克·格里罗饰)的同事被暴徒夺去生命，而他将和警察(布鲁斯·威利斯饰)联手制服凶手。,p2530008819.jpg,完结,494,NULL,NULL,10,1,1,1,1569944084,1569944084
2129,孤独的美食家 第一季,松重丰 山村美智 宮内順子 有賀さつき 下宮里穂子 ,溝口憲司,井之头五郎(松重丰饰)独自经营着一家杂货店，他的小店虽然不是实体店，却接到不少客人的订单。每次接单他都亲自登门拜访客户，也因此发现了隐藏在城市里各个角落的美食。每当完成工作任务后，饥肠辘辘的他放下一切，专心地寻找着东京街头巷尾能勾起他食欲的小店，美食总是与他不期而遇。香喷喷的烤鸡肉串、热辣的无汤担担面、一个人的美味烤肉、入口即化的静冈关东煮、香脆可口的炸猪排套餐等等，每当沉浸在一个人享受美食的过程中，井之头五郎内心除了美味心无旁骛，填饱肚子后烦恼也一扫而光。本剧是根据久住昌之创作、谷口二郎作画的同名漫画改编而成，运用了类似纪录片的描述方式，其中剧中登场的餐馆全部都是真实存在的，每集之后更有作者亲自走访剧中小店，采访老板并且品尝更多特色美食。,p2135619843.jpg,完结,2536,NULL,NULL,4,5,4,2,1569944084,1569944084
2130,孤独的美食家 第二季,松重丰 齐藤晓 おぼんこぼん 佐藤蓝子 柳乐健一 ,溝口憲司,前方注意，一大波美食跟随着名为井之头五郎（松重丰饰）的吃货大叔正在逼近！个体户五郎的足迹因为工作的关系正在逐步扩大。去四处拜访顾客，为顾客找寻满意的物件，五郎在和不同的人和事的接触过程中，也邂逅了各类美食。每当工作完成，肚子就会开始指使五郎跟随自己的心意追寻理想的美食。好吃的食物并不只存在于高档酒店，精致布局，它可能就是一份便宜的天妇罗定食、引得人人欢呼的鸡汁土豆泥、商店街的小吃、海边小镇随意的鱼料理……但它们就是有魔力消除一天的疲惫和心中的不快，然后在饱腹和暖意中让人怀着笑意继续前行。本片是根据由久住昌之创作，谷口二郎绘画的同名漫画改编的电视剧第二季。新的一季延续了第一季的风格和脉络，在此基础上，加入了甜品的部分，可谓美食加倍。原作者还会在正片后亲自带领大家前往片中出现的真实小店参观和了解。,p1824246903.jpg,完结,1107,NULL,NULL,4,5,4,2,1569944084,1569944084
2131,孤独的美食家 第三季,松重丰 ,溝口憲司,久违的吃货五郎又回来了！个体杂货商店的老板井之头五郎（松重丰YutakaMatsushige饰）将在这个夏天不仅继续为千奇百怪的客人搜寻各种稀奇古怪的玩意儿，更将在工作间隙再次带领大家深入日本的大街小巷饱尝各色令人垂涎欲滴的美食。从重磅出击的奶油水果三明治早餐，到浓郁醇香的黑咖啡，到油光锃亮的鳗鱼配上晶莹剔透的米饭，再到百吃不厌的中华料理，五郎虽然还是一个人吃饭，可是却将那种一个人的忘我和悠然发挥得更加淋漓尽致。大快朵颐后的满足不禁不断让人感受到生活中简单的美好，更让我们看到其实并不“孤独”的民间美食家井之头五郎。本片是根据由久住昌之创作，谷口二郎绘画的同名漫画改编的第三季电视剧。本季延续了前两季的纪录片风格，同时在每集结束仍有原作者实地探访片中店铺的片段，让观众得以更加深入片中料理背后的故事。,p2154710501.jpg,完结,715,NULL,NULL,5,5,4,2,1569944085,1569944085
2132,孤独的美食家 第四季,松重豊 ,沟口宪司,美食漫画《孤独的美食家》在改编真人日剧后大受欢迎，现在日剧《孤独的美食家4》宣布将从7月9日起在东京电视台播出，主人公井之头五郎继续由演员松重丰饰演。,p2197340465.jpg,完结,802,NULL,NULL,6,5,4,2,1569944085,1569944085
2133,孤独的美食家 第五季,松重丰 ,溝口憲司,松重丰饰演的主人公井之头五郎，借工作之便在出差地周边的美食店驻足，自由享用想吃的美食并度过自在时光。《孤独的美食家第五季》就是这样的一档美食纪录片。五郎叔的食相实在是太诱人，即便是在深夜播出也激起了不少观众的食欲，可谓是典型的“深夜报社”系列。自2012年1月第一季播出以来，收视率一季更比一季高，终于于今年迎来了万众瞩目的第五季，让我们拭目以待！,p2270051519.jpg,完结,830,NULL,NULL,7,5,4,2,1569944085,1569944085
2134,孤独的美食家 第六季,松重丰 ,溝口憲司,由久住昌之创作、谷口治郎作画，从1994年到1996年在扶桑社《月刊PANJA》杂志上连载的漫画。讲述的是一名个人经营进口杂货商店的男子井之头五郎，在工作间隙前往餐馆当中吃饭的场景的故事。作品中登场的餐馆全部都是实际存在的，其中一个重要的特点就在于基本上都是一些大众化的餐馆，只不过作品中并不是单纯地描述食文化，而是着重表现主人公吃饭的场景以及心理描写。@www.aixiaoju.com,p2460556666.jpg,完结,1125,NULL,NULL,9,5,4,2,1569944085,1569944085
2135,孤独的美食家 第七季,松重丰  田畑智子  山上贤治  木野花,久住昌之,2018年4月，深夜开始悄悄播放的“孤独的美食家”终于迎来第7季了！众所周知，上季season6从大阪的味道开始播出，但这次season7重返初心，并开始与市井中不为人知的奇妙美食相遇。在“孤独的美食家”中，除了会有最强菜品的肉料理和最受欢迎的中华料理等丰富多彩的菜单外，必不可少的日本料理将继续登场，并且还有出差篇等，节目魅力十足。另一方面，我们还将带来新的惊喜，带来不同的挑战，比如我们还没有推出的美食类型的外观，或者合并新产品。敬请期待。,p2518507118.jpg,完结,3256,NULL,NULL,10,5,4,2,1569944086,1569944086
2136,高分少女,天崎滉平 铃代纱弓 广濑有纪 兴津和幸 山下大辉 ,山川吉树,去和比我更强的GIRL相见——。“多边形”？那是啥？能吃吗？就在这种曾是2D全盛期的古早格斗游戏热潮到来的1991年。在不良、阿宅、上班族蔓延的市郊游戏中心，她凛然地坐在那里——。通过主人公春雄描绘的“90年代街机恋爱喜剧”！,p2517144670.jpg,完结,1198,NULL,NULL,10,5,4,3,1569944086,1569944086
2137,爱情进化论,张天爱 张若昀 许魏洲 何泓姗 赵东泽 ,安竹间,艾若曼，条件不错、奋斗自强、一路向前，都市独立新女性的杰出代表，却始终不受男性青睐，还被前男友定性为没人敢爱。鹿飞，温柔随和、与人为善、随遇而安，只想做60分就好的普通人，热爱烹饪、打扫和花草的居家良品，异性缘甚佳，恋爱履历却神秘空白，更不敢靠近婚姻半步。他们两个，都是大都市中奋斗着的三十岁单身男女。他们不甘心在三十岁被判定为黄金岁月告罄，都在努力进化出更好的自己，拉开更好生命的时光。而他们相识的十五年，则是在兜兜转转的友情之后，才认清彼此的有情，也是在进化出更好的自己后，才终于收获了属于自己的爱情。,p2528359503.jpg,完结,1142,NULL,NULL,10,2,2,2,1569944086,1569944086
2139,市长夫人的秘密,张少怀 柯佳嬿 陈乔恩 明道 钟瑶 ,连奕琦,专门解决男女恋爱纠纷的「爱情大师」程见（张少怀饰），做梦也没想到自己有一天会被人痛殴塞进海边消波块，甚至要面临全民大公审的窘境！一段程见与市长夫人（陈乔恩饰）在餐厅包厢激吻的偷拍画面，正在网路上病毒般地全面扩散，这位综艺名嘴眼看就要身败名裂，他该如何发挥舌灿莲花的功力，让「一路走来始终泼辣」的经纪人女友MiuMiu（柯佳嬿饰）相信自己的清白呢？而这一切的溷乱却是来自市府的极机密委託引起，市长（马志翔饰）要求程见假冒身份接近偷吃成性的市长夫人，想在选前低调解决夫人不为人知的「小秘密」。如今身陷意想不到的桃色风波，程见该如何靠着自己过人的观察力抽丝剥茧，从荒谬的政治风暴中完美脱身呢？,p2519742046.jpg,完结,391,NULL,NULL,10,2,5,1,1569944087,1569944087
2140,浮城谜事,郝蕾 秦昊 齐溪 朱亚文 祖锋 ,娄烨,警察童明松（祖锋饰）负责调查一起车祸，大学生蚊子（常方源饰）意外惨死，童明松决定同哥们儿——喜欢蚊子的修车工秦枫（朱亚文饰）一起调查事件真相。两人追查真相时牵扯出了中产阶级夫妻乔永照（秦昊饰）和陆洁（郝蕾饰），陆洁因为女儿在幼儿园的玩伴宇航，认识了她的妈妈桑琪（齐溪饰），却在与其交往的过程中发现了丈夫的外遇……随着蛛丝马迹的层层披露，事情越来越蹊跷，童、秦二人发现乔永照、陆洁、桑琪都藏有不可告人的秘密。,p1722545381.jpg,完结,516,NULL,NULL,4,2,2,1,1569944087,1569944087
2141,推拿,郭晓冬 秦昊 张磊 梅婷 黄轩 ,娄烨,少年时代的一场意外让男孩小马（黄轩饰）的双眼失去了光明，自杀未遂后，阴沉的小马辗转来到了由沙复明（秦昊饰）所经营的盲人按摩中心就职。在这里，聚集了许多和小马一样的盲人，无论是先天还是后天，生活在共同的黑暗里让这群盲人之间产生了深厚而坚实的友谊。王大夫（郭晓冬饰）和女友小孔（张磊饰）远道而来投奔沙复明，小孔充满了女人味的声音和气息令小马的内心产生了涟漪，执着而决绝的小马追寻着内心的声音，不断的向小孔靠近着。之后，一个名叫小蛮（黄璐饰）的发廊小姐出现在了小马的生命里，随着时间的推移，小马竟然开始对小蛮产生了感情。,p2211024574.jpg,完结,350,NULL,NULL,6,2,2,1,1569944087,1569944087
2142,法证先锋第一季,欧阳震华 林文龙 蒙嘉慧 钟嘉欣 曹永廉 ,梅小青,冷静理智的法政部高级化验师高彦博（欧阳震华饰），洞察力过人的他单凭一条头发、衣物纤维便能协助警方破案。但他没有想到的是，妻子的弟弟、身为法医的古泽琛（林文龙饰）和高级督察梁小柔（蒙嘉慧饰），都怀疑彦博毒害了自己的妻子。彦博只好用自己的学习的专业知识证明自己的清白。后来彦博、泽琛、小柔三人都成为了各自领域的精英，一起携手合作揭破了一宗又一宗迷离案件，但谜团还是不断出现，甚至威胁到了他们的生命危险……,p2373073796.jpg,完结,5544,NULL,NULL,1,3,3,2,1569944088,1569944088
2143,法证先锋第二季,欧阳震华 蒙嘉慧 林文龙 佘诗曼 郑嘉颖 ,梅小青,法政部的高级化验师TimSir（欧阳震华饰）学识广博，有赖于他高超的物证检验手法，屡破奇案。手下兼好友阿Sam（林文龙饰）亦是一名出色的法医，最近他准备和相恋多年的女友汀汀（钟嘉欣饰）正准备结婚。阿Sam的好友Ivan（郑嘉颖饰）刚从英国回来，在一次炸弹危机中安全引爆了炸弹了，令到TimSir对他另眼相看。这时，扫毒组的高级督察马帼英（佘诗曼饰）和一班手下正在追查香港大毒枭戴贵，戴贵逼走了香港的另一个毒枭石头勇而独霸了整个香港市场。正当扫毒组和法证组合力追寻到戴贵的手下和国外毒贩交易，准备将得意洋洋的戴贵捉捕时，戴贵所乘坐的汽车竟然爆炸了。恰巧这时汀汀和TimSir的女友——重案组高级督察小柔（蒙嘉慧饰）经过，爆炸令汀汀死去，小柔重伤。正准备结婚的阿Sam闻之消息后悲痛欲绝。帼英调到了重案组任职，她怀疑戴贵的爆炸案是石头勇回来报复所致，于是开始着手调查。正当案情胶着时，冥冥中阿Sam似乎得到了汀汀的提示，终于找到了石头勇犯案的证据……,p2372489263.jpg,完结,4749,NULL,NULL,1,3,3,2,1569944088,1569944088
2144,法证先锋第三季,黎耀祥 张可颐 吴卓羲 徐子珊 胡定欣 ,梅小青,最后两集合并了。法政先锋们的故事还在继续，这次的主角是法证部的高级化验师布国栋（黎耀祥饰）。号称“人肉百科全书”的国栋知识渊博，且一直不断学习，他与法医科高级医生钟学心（张可颐饰）既是事业上的伙伴，又是生活中的好友，共同研究工作上的疑难杂事，又互相倾诉生活中的困扰。学心的好友凌倩儿（徐子珊饰）任职于西龙九重案组，作为高级督察的她，身手了得，和警长李展风（吴卓羲饰）是好拍档。法医部、警界等因为各类案件而经常需要合作，而正是在他们的联努力下，一起起棘手的案件被侦破。布国栋和妻子周奕霏（胡定欣饰）因为观念不和，最终以离婚收场，而他与学心的感情也与日俱增，学心童年悲惨的经历让他们把目光投向了新的案件上……,p2393643624.jpg,完结,3573,NULL,NULL,3,3,3,2,1569944088,1569944088
2145,流氓蛋糕店,蓝正龙 长泽雅美 馬如龍 洪天祥 胡芸榛 ,北村丰晴,《流氓蛋糕店》（英語：CHOCOLAT），2014年台灣偶像劇，是可米國際影視事業股份有限公司與日本合作的偶像劇，由藍正龍、長澤雅美、馬如龍領銜主演。2012年9月開鏡。本劇改編窪之內英策所作的同名漫畫《流氓蛋糕店》，本劇取得日本小學館出版社授權拍攝。長澤雅美的部分不會另請專業配音人員。台視於2014年1月10日播出、八大綜合台播出於2014年1月11日播出。,p2164536523.jpg,完结,220,NULL,NULL,6,2,5,2,1569944089,1569944089
2146,天坑鹰猎,王俊凯 文淇 蒋依依 叶筱玮 郑好 ,成志超,根据天下霸唱同名小说改编，讲述了20世纪80年代末，北京少年张保庆为给恩师寻药，只身前往东北鹰屯，却因偶得一张古老的地图，与地质少年团开启了共同探秘天坑的故事。探险途中，少年不惧危险，勇挫贪婪势力，深刻领悟到人类的过度贪婪终将破坏大自然的平衡，逐渐从懵懂的毛头小子成长为有责任感的英雄少年的故事。,p2532875985.jpg,完结,2537,NULL,NULL,10,2,2,2,1569944089,1569944089
2147,24帧,无,阿巴斯·基亚罗斯塔米,这是二十四段每秒二十四格的电影真理，也是馈赠给世人的遗愿纪念。伊朗电影大师阿巴斯在静态摄影与动态影像之间，百转千回、细细探寻，也搭建起两种艺术表现形式间的关联。下起雪来白茫茫一片的林地，炊烟袅袅升起的村屋，鸟儿振翅飞过原野，鹿与牛缓步迁徙横越，世间万物在阿巴斯灵动诗意的凝视中，每一个按下快门瞬间的之前与之后，都随着景框里的窗框树影摇曳，天马行空地流转时光，在影格与影格之间，梳理电影的本质。“电影始于葛里菲斯，止于阿巴斯。”这是法国新浪潮大导演高达对阿巴斯电影美学的赞誉。从摄影出发，拓延影格之间的空隙，《24格》发想自阿巴斯个人收藏的照片，历经三年的时间与伊朗技术团队合作，运用数位影像工具，以3D动画、摆拍的方式，重新想像这些画面的前世今生，与其创造出来的情感触动。摄影与电影之间反覆且亲密的追寻与叩问，一曲温柔而绵长的影像诗。,p2520350384.jpg,完结,269,NULL,NULL,9,6,6,1,1569944089,1569944089
2148,苏丹 / 摔跤手苏丹,萨尔曼·汗 安努舒卡·莎玛 马雷塞·克伦普 泰伦·伍德利 罗恩·斯穆安伯格 ,阿里·阿巴斯·札法,来自印度北方小镇的苏丹遇见了摔角教练的女儿，苏丹为了心仪女孩，不仅开始学起摔角，在短时间内就获得地方冠军，展现了他的决心和天分。他不但娶得美人归，还和妻子一起代表印度参加奥运，但就在苏丹获得奥运金牌的同时，他却因为骄傲自大而失去了挚爱的家庭，唯一能赢回妻子芳心的办法，就是站回属于他的舞台。,p2529570494.jpg,完结,468,NULL,NULL,8,6,6,1,1569944089,1569944089
2150,正义联盟,本·阿弗莱克 亨利·卡维尔 盖尔·加朵 埃兹拉·米勒 杰森·莫玛 ,扎克·施奈德,受到超人无私奉献的影响，蝙蝠侠重燃了对人类的信心，接受了新盟友——神奇女侠（戴安娜·普林斯）的帮助，去对抗更加强大的敌人。蝙蝠侠和神奇女侠一同寻找并招募了一支超人类联盟来抵挡新觉醒的威胁。但尽管这支队伍集结了超人、蝙蝠侠、神奇女侠、闪电侠、海王和钢骨等人，他们似乎无法阻止敌人对地球的进攻……,p2504027804.jpg,完结,1790,NULL,NULL,9,1,1,1,1569944090,1569944090
2151,来玩游戏吧 / 游戏3人娘,木野日菜 长江里加 小原好美 置鲇龙太郎 井上穗乃花 ,岸诚二,奥莉薇（长江里加配音）是学校里新来的转校生，金发碧眼的她生得一副标准的外国人面孔，但实际上，无论是出生和成长都在日本境内的她，根本就一丁点英语都不会说。野村香纯（小原好美配音）拥有着过人的智商，在几乎全部的学科上都是头筹的位置，但偏偏对英语这门科目不感冒，不只是不感冒，香纯的英语成绩只能用惨不忍睹来形容。奥莉薇的出现让香纯看到了希望，她打算拜托对方帮自己补习英语。本田华子（木野日菜配音）看上去有些呆呆的，常常会做出一些傻事，但成绩却意外的不错，对现充生活充满了憧憬的她，却同奥莉薇和香纯一起，被拉入了游戏的世界之中。,p2517216465.jpg,完结,1192,NULL,NULL,10,5,4,3,1569944090,1569944090
